SUMLEV,STATE,REGION,DIVISION,STNAME,HUCENSUS2010,HUESTBASE2010,HUEST_2010,HUEST_2011
040,01,3,6,Alabama,2171853,2171852,2173898,2182088
040,02,4,9,Alaska,306967,306967,307815,311201
040,04,4,8,Arizona,2844526,2844524,2848487,2864335
040,05,3,7,Arkansas,1316299,1316300,1317915,1324369
040,06,4,9,California,13680081,13680081,13688154,13720462
040,08,4,8,Colorado,2212898,2212897,2215237,2224603
040,09,1,1,Connecticut,1487891,1487891,1489117,1494019
040,10,3,5,Delaware,405885,405885,406659,409757
040,11,3,5,District of Columbia,296719,296719,297156,298902
040,12,3,5,Florida,8989580,8989582,8997061,9026965
040,13,3,5,Georgia,4088801,4088804,4091640,4102992
040,15,4,9,Hawaii,519508,519508,520069,522305
040,16,4,8,Idaho,667796,667794,669114,674394
040,17,2,3,Illinois,5296715,5296715,5296832,5297318
040,18,2,3,Indiana,2795541,2795540,2796556,2800614
040,19,2,4,Iowa,1336417,1336415,1337237,1340529
040,20,2,4,Kansas,1233215,1233215,1234105,1237651
040,21,3,6,Kentucky,1927164,1927163,1928255,1932599
040,22,3,7,Louisiana,1964981,1964980,1967756,1978848
040,23,1,1,Maine,721830,721829,722579,725577
040,24,3,5,Maryland,2378814,2378814,2381320,2391350
040,25,1,1,Massachusetts,2808254,2808254,2810394,2818940
040,26,2,3,Michigan,4532233,4532232,4530882,4525480
040,27,2,4,Minnesota,2347201,2347201,2348568,2354034
040,28,3,6,Mississippi,1274719,1274720,1276119,1281711
040,29,2,4,Missouri,2712729,2712729,2714863,2723415
040,30,4,8,Montana,482825,482825,484093,489157
040,31,2,4,Nebraska,796793,796793,797673,801185
040,32,4,8,Nevada,1173814,1173815,1175827,1183873
040,33,1,1,New Hampshire,614754,614756,615344,617704
040,34,1,2,New Jersey,3553562,3553562,3555361,3562553
040,35,4,8,New Mexico,901388,901388,902734,908132
040,36,1,2,New York,8108103,8108105,8110354,8119364
040,37,3,5,North Carolina,4327528,4327525,4334566,4362740
040,38,2,4,North Dakota,317498,317498,318181,320909
040,39,2,3,Ohio,5127508,5127507,5128696,5133446
040,40,3,7,Oklahoma,1664378,1664379,1666443,1674685
040,41,4,9,Oregon,1675562,1675562,1677289,1684193
040,42,1,2,Pennsylvania,5567315,5567315,5569709,5579275
040,44,1,1,Rhode Island,463388,463388,463656,464728
040,45,3,5,South Carolina,2137683,2137683,2141551,2157033
040,46,2,4,South Dakota,363438,363438,364052,366540
040,47,3,6,Tennessee,2812133,2812134,2815511,2829025
040,48,3,7,Texas,9977436,9977437,10001712,10098750
040,49,4,8,Utah,979709,979709,982382,993060
040,50,1,1,Vermont,322539,322538,322907,324389
040,51,3,5,Virginia,3364939,3364937,3369482,3387654
040,53,4,9,Washington,2885677,2885677,2890038,2907490
040,54,3,5,West Virginia,881917,881922,881888,881752
040,55,2,3,Wisconsin,2624358,2624358,2626443,2634781
040,56,4,8,Wyoming,261868,261868,262602,265528
