SUMLEV,MUNICIPIO,NAME,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,NPOPCHG2010,NPOPCHG2011,PPOPCHG2010,PPOPCHG2011,SRANK_ESTBASE2010,SRANK_POPEST2010,SRANK_POPEST2011,SRANK_NPCHG2010,SRANK_NPCHG2011,SRANK_PPCHG2010,SRANK_PPCHG2011
040,0,Puerto Rico,3725789,3721978,3706690,-3811,-15288,-0.102287059,-0.410749338,X,X,X,X,X,X,X
050,1,Adjuntas Municipio,19483,19480,19459,-3,-21,-0.015398039,-0.107802875,65,65,65,29,30,31,32
050,3,Aguada Municipio,41959,41920,41812,-39,-108,-0.092947878,-0.257633588,27,28,27,51,45,42,39
050,5,Aguadilla Municipio,60949,60807,60316,-142,-491,-0.232981673,-0.807472824,12,12,12,72,70,67,63
050,7,Aguas Buenas Municipio,28659,28653,28599,-6,-54,-0.020935832,-0.188461941,49,49,49,32,37,32,36
050,9,Aibonito Municipio,25900,25873,25724,-27,-149,-0.104247104,-0.575889924,54,54,54,46,49,43,50
050,11,Añasco Municipio,29261,29274,29281,13,7,0.044427737,0.023912004,48,48,48,16,23,18,23
050,13,Arecibo Municipio,96440,96311,95816,-129,-495,-0.133761925,-0.513959984,7,7,7,70,71,50,46
050,15,Arroyo Municipio,19575,19582,19594,7,12,0.035759898,0.061280768,64,64,64,21,21,20,20
050,17,Barceloneta Municipio,24816,24861,25013,45,152,0.181334623,0.611399381,57,57,57,12,12,5,9
050,19,Barranquitas Municipio,30318,30344,30402,26,58,0.085757636,0.191141577,46,46,45,15,15,16,17
050,21,Bayamón Municipio,208116,207630,205693,-486,-1937,-0.233523612,-0.932909502,2,2,2,76,76,68,66
050,23,Cabo Rojo Municipio,50917,50970,51245,53,275,0.104090972,0.539533059,16,16,16,10,6,14,11
050,25,Caguas Municipio,142893,142853,142678,-40,-175,-0.027992974,-0.122503553,5,5,5,52,53,34,34
050,27,Camuy Municipio,35159,35137,35035,-22,-102,-0.062572883,-0.290292284,40,40,40,43,44,40,41
050,29,Canóvanas Municipio,47648,47727,48068,79,341,0.165799194,0.714480273,19,19,18,4,3,9,6
050,31,Carolina Municipio,176762,176436,175129,-326,-1307,-0.18442878,-0.740778526,3,3,3,75,75,60,61
050,33,Cataño Municipio,28140,28083,27821,-57,-262,-0.202558635,-0.932948759,50,50,50,58,60,64,67
050,35,Cayey Municipio,48119,48098,48065,-21,-33,-0.043641805,-0.068609921,18,18,19,41,32,37,29
050,37,Ceiba Municipio,13631,13593,13440,-38,-153,-0.278776319,-1.125579342,72,72,72,50,51,73,72
050,39,Ciales Municipio,18782,18753,18624,-29,-129,-0.154403152,-0.687889938,68,68,68,47,47,54,58
050,41,Cidra Municipio,43480,43491,43524,11,33,0.025298988,0.075877768,24,24,24,18,18,21,19
050,43,Coamo Municipio,40512,40585,40846,73,261,0.180193523,0.643094739,30,30,30,5,7,6,7
050,45,Comerío Municipio,20778,20783,20779,5,-4,0.024063914,-0.0192465,62,62,62,22,25,22,25
050,47,Corozal Municipio,37142,37146,37111,4,-35,0.010769479,-0.094222797,37,37,37,23,33,23,30
050,49,Culebra Municipio,1818,1816,1809,-2,-7,-0.110011001,-0.385462555,78,78,78,28,26,45,44
050,51,Dorado Municipio,38165,38233,38524,68,291,0.178173719,0.76112259,35,35,35,8,5,7,5
050,53,Fajardo Municipio,36993,36894,36499,-99,-395,-0.267618198,-1.070634792,38,38,38,66,67,71,71
050,54,Florida Municipio,12680,12680,12678,0,-2,0,-0.015772871,73,73,73,26,24,26,24
050,55,Guánica Municipio,19427,19368,19115,-59,-253,-0.303701035,-1.306278397,66,66,66,59,58,75,77
050,57,Guayama Municipio,45362,45359,45345,-3,-14,-0.006613465,-0.030864878,22,22,22,29,29,28,26
050,59,Guayanilla Municipio,21581,21541,21368,-40,-173,-0.185348223,-0.803119632,61,61,61,52,52,61,62
050,61,Guaynabo Municipio,97924,97793,97280,-131,-513,-0.133777215,-0.524577424,6,6,6,71,72,51,47
050,63,Gurabo Municipio,45369,45574,46406,205,832,0.451850382,1.825602317,21,21,20,1,2,1,1
050,65,Hatillo Municipio,41953,42007,42244,54,237,0.128715467,0.564191682,28,26,25,9,10,11,10
050,67,Hormigueros Municipio,17250,17262,17295,12,33,0.069565217,0.191171359,69,69,69,17,18,17,16
050,69,Humacao Municipio,58466,58396,58189,-70,-207,-0.119727705,-0.354476334,14,14,14,61,54,46,42
050,71,Isabela Municipio,45631,45627,45669,-4,42,-0.008765971,0.092050759,20,20,21,31,16,29,18
050,73,Jayuya Municipio,16642,16619,16524,-23,-95,-0.138204543,-0.571634876,70,70,70,44,42,52,49
050,75,Juana Díaz Municipio,50747,50728,50676,-19,-52,-0.037440637,-0.102507491,17,17,17,39,36,36,31
050,77,Juncos Municipio,40290,40360,40609,70,249,0.173740382,0.616947473,31,31,31,7,9,8,8
050,79,Lajas Municipio,25753,25722,25571,-31,-151,-0.120374325,-0.587046108,55,55,55,49,50,47,51
050,81,Lares Municipio,30753,30652,30219,-101,-433,-0.328423243,-1.412632128,44,44,46,67,68,78,78
050,83,Las Marías Municipio,9881,9857,9758,-24,-99,-0.242890396,-1.004362382,75,75,75,45,43,69,69
050,85,Las Piedras Municipio,38675,38760,39087,85,327,0.21978022,0.843653251,34,34,34,3,4,4,4
050,87,Loíza Municipio,30060,30006,29738,-54,-268,-0.179640719,-0.893154702,47,47,47,55,61,58,64
050,89,Luquillo Municipio,20068,20070,20061,2,-9,0.009966115,-0.044843049,63,63,63,24,27,24,27
050,91,Manatí Municipio,44113,44043,43772,-70,-271,-0.158683381,-0.615307767,23,23,23,61,63,57,54
050,93,Maricao Municipio,6276,6267,6227,-9,-40,-0.143403442,-0.638263922,77,77,77,35,34,53,57
050,95,Maunabo Municipio,12225,12210,12142,-15,-68,-0.122699387,-0.556920557,74,74,74,38,39,48,48
050,97,Mayagüez Municipio,89080,88796,87712,-284,-1084,-0.318814549,-1.220775711,9,9,9,74,74,77,75
050,99,Moca Municipio,40109,40103,40052,-6,-51,-0.014959236,-0.127172531,32,32,33,32,35,30,35
050,101,Morovis Municipio,32610,32660,32823,50,163,0.1533272,0.499081445,42,42,41,11,11,10,12
050,103,Naguabo Municipio,26720,26791,27051,71,260,0.265718563,0.97047516,51,51,51,6,8,2,3
050,105,Naranjito Municipio,30402,30413,30423,11,10,0.03618183,0.032880676,45,45,44,18,22,19,22
050,107,Orocovis Municipio,23423,23415,23359,-8,-56,-0.034154464,-0.23916293,59,59,60,34,38,35,38
050,109,Patillas Municipio,19277,19247,19106,-30,-141,-0.155625875,-0.732581701,67,67,67,48,48,55,60
050,111,Peñuelas Municipio,24282,24220,23947,-62,-273,-0.255333169,-1.12716763,58,58,58,60,64,70,73
050,113,Ponce Municipio,166327,165806,163727,-521,-2079,-0.31323838,-1.253875011,4,4,4,77,77,76,76
050,115,Quebradillas Municipio,25919,25919,25890,0,-29,0,-0.111887033,53,53,52,26,31,26,33
050,117,Rincón Municipio,15200,15201,15192,1,-9,0.006578947,-0.059206631,71,71,71,25,27,25,28
050,119,Río Grande Municipio,54304,54290,54310,-14,20,-0.02578079,0.036839197,15,15,15,36,20,33,21
050,121,Sabana Grande Municipio,25265,25245,25132,-20,-113,-0.079160895,-0.447613389,56,56,56,40,46,41,45
050,123,Salinas Municipio,31078,31064,30981,-14,-83,-0.045047944,-0.267190317,43,43,43,36,40,38,40
050,125,San Germán Municipio,35527,35471,35254,-56,-217,-0.157626594,-0.611767359,39,39,39,57,55,56,53
050,127,San Juan Municipio,395326,394193,389714,-1133,-4479,-0.286598908,-1.136245443,1,1,1,78,78,74,74
050,129,San Lorenzo Municipio,41058,41037,40947,-21,-90,-0.051147158,-0.219314277,29,29,29,41,41,39,37
050,131,San Sebastián Municipio,42430,42353,42092,-77,-261,-0.181475371,-0.616249144,25,25,26,64,59,59,55
050,133,Santa Isabel Municipio,23274,23301,23389,27,88,0.116009281,0.377666195,60,60,59,14,14,13,14
050,135,Toa Alta Municipio,74066,74252,75105,186,853,0.251127373,1.148790605,11,11,10,2,1,3,2
