Alabama|2173898|4779736
Alaska|307815|710231
Arizona|2848487|6392017
Arkansas|1317915|2915918
California|13688154|37253956
Colorado|2215237|5029196
Connecticut|1489117|3574097
Delaware|406659|897934
District of Columbia|297156|601723
Florida|8997061|18801310
Georgia|4091640|9687653
Hawaii|520069|1360301
Idaho|669114|1567582
Illinois|5296832|12830632
Indiana|2796556|6483802
Iowa|1337237|3046355
Kansas|1234105|2853118
Kentucky|1928255|4339367
Louisiana|1967756|4533372
Maine|722579|1328361
Maryland|2381320|5773552
Massachusetts|2810394|6547629
Michigan|4530882|9883640
Minnesota|2348568|5303925
Mississippi|1276119|2967297
Missouri|2714863|5988927
Montana|484093|989415
Nebraska|797673|1826341
Nevada|1175827|2700551
New Hampshire|615344|1316470
New Jersey|3555361|8791894
New Mexico|902734|2059179
New York|8110354|19378102
North Carolina|4334566|9535483
North Dakota|318181|672591
Ohio|5128696|11536504
Oklahoma|1666443|3751351
Oregon|1677289|3831074
Pennsylvania|5569709|12702379
Rhode Island|463656|1052567
South Carolina|2141551|4625364
South Dakota|364052|814180
Tennessee|2815511|6346105
Texas|10001712|25145561
Utah|982382|2763885
Vermont|322907|625741
Virginia|3369482|8001024
Washington|2890038|6724540
West Virginia|881888|1852994
Wisconsin|2626443|5686986
Wyoming|262602|563626
